labels_key,labels_value,sku_description,cost,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd",Network Internet Egress from Americas to EMEA,0,5.7125
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p",Network Internet Egress from Americas to EMEA,0,5.556388889
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatesssd-p,markduplicates",Network Inter Region Ingress from Americas to Americas,0,
